Job array    : 752, task 11
Node         : bn049
Started at   : Tue Mar 17 02:39:18 PM EDT 2026
Config       : train/config/default.yaml
Study        : yoloe_hparam_search_v4 @ sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v4.db
Trials       : 15 (this worker)
Checkpoints  : top-3 per trial → /fs01/home/dhaneshr/code/obj-det-test/checkpoints/hparam_v4
Study name   : yoloe_hparam_search_v4
Storage      : sqlite:////fs01/home/dhaneshr/code/obj-det-test/optuna_studies/yoloe_hparam_search_v4.db
Trials       : 15 (this worker)
Epochs/trial : 50 (max, EMA early stopping patience=15)
EMA alpha    : 0.3
Checkpoints  : top-3 per trial → /fs01/home/dhaneshr/code/obj-det-test/checkpoints/hparam_v4

  Epoch  49/50 | LR=1.15e-05 | TLoss=6.6401 | VLoss=32.2900 | AP@50=0.4261 | SliceAP=0.6634 | EMA_SliceAP=0.6590
  Epoch  50/50 | LR=1.04e-05 | TLoss=7.3747 | VLoss=33.2597 | AP@50=0.4106 | SliceAP=0.6337 | EMA_SliceAP=0.6514
  [Checkpoints] top-3 saved → /fs01/home/dhaneshr/code/obj-det-test/checkpoints/hparam_v4/trial_0053/swa_manifest.yaml

[Trial 92] lr=1.95e-04  wd=6.67e-03  stride=7  bs=16  mosaic=0.28  ls=0.115  clahe=True  ssr=True  rbc=False  median=True(limit=5)  speckle=False(heavy)  cp_p=0.16
ScanAwareSampler: 13 scans, 2306 total slices, stride=7 → ~336 slices/epoch (15% of training set per epoch)
  Epoch   1/50 | LR=1.95e-05 | TLoss=468.9706 | VLoss=515.2080 | AP@50=0.0005 | SliceAP=0.1881 | EMA_SliceAP=0.1881
  Epoch   2/50 | LR=4.15e-05 | TLoss=372.9527 | VLoss=369.3357 | AP@50=0.0004 | SliceAP=0.3861 | EMA_SliceAP=0.2475
  Epoch   3/50 | LR=6.35e-05 | TLoss=263.7632 | VLoss=238.5991 | AP@50=0.0004 | SliceAP=0.7030 | EMA_SliceAP=0.3842
  Epoch   4/50 | LR=8.55e-05 | TLoss=149.2297 | VLoss=145.9222 | AP@50=0.0004 | SliceAP=0.5149 | EMA_SliceAP=0.4234
  Epoch   5/50 | LR=1.07e-04 | TLoss=84.2453 | VLoss=84.8072 | AP@50=0.0003 | SliceAP=0.5149 | EMA_SliceAP=0.4508
